id,user_id,title,message,read,created_at
145,5,New registration request,"A student has requested to join your event ""test completed"". Approve or reject from the Event Registrations page.",false,"""2026-03-14T16:31:09.565Z"""
146,7,Pending approval,"Your request to join the event ""test completed"" is pending approval from the community leader.",false,"""2026-03-14T16:31:09.705Z"""
147,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-14T16:32:25.309Z"""
148,7,Registration rejected,"Your registration for the event ""test completed"" has been rejected.",false,"""2026-03-14T16:32:43.035Z"""
149,7,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-14T16:34:16.981Z"""
150,4,New registration request,"A student has requested to join your event ""test completed"". Approve or reject from the Event Registrations page.",false,"""2026-03-14T16:40:06.404Z"""
151,5,New registration request,"A student has requested to join your event ""test completed"". Approve or reject from the Event Registrations page.",false,"""2026-03-14T16:40:06.477Z"""
152,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-14T16:40:13.111Z"""
153,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-14T17:12:56.894Z"""
154,7,Registration rejected,"Your registration for the event ""test completed"" has been rejected.",false,"""2026-03-14T17:13:01.746Z"""
155,7,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-14T17:13:28.496Z"""
156,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-14T17:57:18.784Z"""
157,5,Event pending your approval,A new event is waiting for your approval.,false,"""2026-03-15T13:33:43.096Z"""
158,5,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-15T13:55:05.167Z"""
159,1,Event rejected,Your event was rejected and returned to draft.,false,"""2026-03-15T13:55:10.307Z"""
160,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-15T13:55:21.750Z"""
161,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-15T14:02:32.565Z"""
162,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-15T14:04:04.679Z"""
163,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-15T14:28:39.881Z"""
164,7,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-15T14:35:24.111Z"""
165,4,New registration request,"A student has requested to join your event ""test2 from admin"". Approve or reject from the Event Registrations page.",false,"""2026-03-15T14:35:36.672Z"""
166,5,New registration request,"A student has requested to join your event ""test2 from admin"". Approve or reject from the Event Registrations page.",false,"""2026-03-15T14:35:36.742Z"""
167,7,Pending approval,"Your request to join the event ""test2 from admin"" is pending approval from the community leader.",false,"""2026-03-15T14:35:36.827Z"""
168,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-15T14:35:49.351Z"""
169,7,Registration approved,"Your registration for the event ""test2 from admin"" has been approved. You are confirmed for this event.",false,"""2026-03-15T14:41:39.354Z"""
170,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-15T14:42:07.288Z"""
171,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-17T19:04:43.069Z"""
172,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-17T19:07:29.554Z"""
173,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-17T19:08:45.205Z"""
174,5,Event pending your approval,A new event is waiting for your approval.,false,"""2026-03-17T19:11:10.933Z"""
175,5,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-17T19:11:23.129Z"""
176,6,Event pending your approval,A new event is waiting for your approval.,false,"""2026-03-17T19:13:05.380Z"""
177,6,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-17T19:13:13.504Z"""
178,1,Event pending your approval,A new event is waiting for your approval.,false,"""2026-03-17T19:13:32.190Z"""
179,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-17T19:13:39.238Z"""
180,4,Changes requested,Changes were requested for your event.,false,"""2026-03-17T19:13:50.957Z"""
181,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-17T19:13:58.231Z"""
182,1,Event resubmitted for your approval,An event was updated and is waiting for your review again.,false,"""2026-03-17T19:14:51.771Z"""
183,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-17T19:15:00.665Z"""
184,4,Event rejected,Your event was rejected and returned to draft.,false,"""2026-03-17T19:15:36.732Z"""
185,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-17T19:15:44.071Z"""
186,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-17T19:16:32.396Z"""
187,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-18T14:17:46.199Z"""
188,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-24T11:25:31.671Z"""
189,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-24T14:02:56.584Z"""
190,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-28T12:20:09.896Z"""
191,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-28T14:00:30.684Z"""
192,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-28T14:07:59.148Z"""
193,5,Event pending your approval,A new event is waiting for your approval.,false,"""2026-03-28T14:08:42.596Z"""
194,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-28T14:11:51.859Z"""
195,7,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-28T14:15:26.951Z"""
196,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-28T14:16:02.673Z"""
197,5,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-28T14:16:27.228Z"""
198,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-28T14:20:08.013Z"""
199,4,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-28T14:24:12.672Z"""
200,5,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-28T14:25:18.633Z"""
201,6,Event pending your approval,A new event is waiting for your approval.,false,"""2026-03-28T14:25:44.724Z"""
202,6,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-28T14:25:55.432Z"""
203,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-03-28T14:35:56.090Z"""
204,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-04-14T13:33:25.764Z"""
205,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-04-14T14:11:51.647Z"""
206,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-04-14T16:23:29.803Z"""
208,1,New login,A new sign-in to your Najah account was detected.,false,"""2026-04-16T08:00:23.859Z"""
