id,faculty_id,year,title_en,title_ar,description_en,description_ar,source_id,sort_order
1,1,1979,Faculty established,تأسيس الكلية,"Established in 1979, initially offering the Bachelor of Civil Engineering.",تأسست عام 1979 وكانت تقدم في البداية بكالوريوس الهندسة المدنية.,3,1
2,1,2005,Moved to the New Campus (Al-Junaid),الانتقال إلى الحرم الجديد (الجنيد),The faculty moved to the New Campus starting the academic year 2005/2006.,انتقلت الكلية إلى الحرم الجديد ابتداءً من العام الأكاديمي 2005/2006.,3,2
